date,temp_api,sunshine,temp_my,temp_diff
2025-10-27,9.9,9.9,21.041069444444442,11.141069444444442
2025-10-28,9.1,10.0,20.99527777777778,11.89527777777778
2025-11-02,10.3,7.0,20.427527777777776,10.127527777777775
