date,temp_api,sunshine,temp_my,temp_diff
2025-10-03,19.1,0.0,23.377116052814454,4.277116052814453
2025-10-04,22.5,1.9,26.50821851078636,4.00821851078636
2025-10-05,22.7,0.8,26.09277275886032,3.392772758860321
2025-10-06,21.9,0.0,25.804829742877,3.904829742877002
2025-10-07,22.9,2.9,26.417234190410007,3.517234190410008
2025-10-08,22.7,2.9,26.924030576789438,4.224030576789438
2025-10-09,23.0,5.8,26.685566365531617,3.685566365531617
2025-10-10,22.9,5.6,26.376766342141863,3.4767663421418646
2025-10-11,23.6,10.4,26.58058414464534,2.980584144645338
2025-10-12,22.1,0.2,25.403710910354416,3.3037109103544147
2025-10-13,21.7,0.0,25.23905489923558,3.5390548992355804
2025-10-14,19.9,0.6,25.396942321056287,5.496942321056288
2025-10-15,20.7,2.9,24.473042553191487,3.7730425531914875
2025-10-16,19.5,0.7,24.495670604586515,4.995670604586515
2025-10-17,20.6,5.7,24.171745479833103,3.571745479833101
2025-10-18,17.1,0.0,22.909721835883172,5.80972183588317
2025-10-19,16.4,2.3,21.74751216122307,5.347512161223072
2025-10-20,12.5,10.1,21.765212247738344,9.265212247738344
2025-10-21,11.9,0.3,20.32076441973593,8.42076441973593
2025-10-22,14.4,9.0,21.733599722029187,7.333599722029186
2025-10-23,16.4,9.9,21.61094510076442,5.210945100764423
2025-10-24,16.3,9.7,21.543034722222224,5.243034722222223
2025-10-25,15.3,3.3,20.649312022237666,5.349312022237665
2025-10-26,13.4,1.5,19.079305555555557,5.6793055555555565
2025-10-27,9.9,9.9,21.041069444444442,11.141069444444442
2025-10-28,9.1,10.0,20.99527777777778,11.89527777777778
2025-10-29,10.8,9.9,20.70641666666667,9.906416666666669
2025-10-30,11.9,5.5,19.92954166666667,8.029541666666669
2025-10-31,13.6,9.6,19.94172916666667,6.341729166666669
2025-11-01,13.8,9.0,20.025420430854762,6.225420430854761
2025-11-02,10.3,7.0,20.427527777777776,10.127527777777775
