datetime,temperature,temperature_ds,humidity,light,co2,ec,ph,wet_bulb_temperature,dew_point,hd,vpd,light_lux,light_Wm2,ext_temp,ext_rh,ext_icsr_MJ,ext_wind_ms,ext_icsr_Wm2,vent_angle_deg,ACH,U_cover,U_screen_factor,G_env_noshade,G_env_shaded,G_vent,G_loss_noshade,G_loss_shaded,Q_solar_noshade,Q_solar_shaded,Q_air_noshade,Q_air_shaded,_time_for_dt,T_in_model_noshade,T_in_model_shaded,deltaT_screen,share_env_loss_noshade,share_vent_loss_noshade,share_env_loss_shaded,share_vent_loss_shaded,T_measured,error_measured_vs_model_shaded,rad_model_noshade_Wm2,rad_model_shaded_Wm2,rad_model_noshade_lux,rad_model_shaded_lux,w_in_kg_per_kg,h_in_kJ_per_kgda,abs_hum_in_kg_per_m3,ext_rh_assumed,w_out_kg_per_kg,h_out_kJ_per_kgda,abs_hum_out_kg_per_m3,water_removed_kg_per_m2,w_after_vent,RH_after_vent,vpd_measured,RH_model_shaded,vpd_model_shaded,deltaVPD_shading,VPD_stage1,VPD_stage2,VPD_stage3,T_stage1,T_stage2,T_stage3,RH_stage1,RH_stage2,RH_stage3,energy_stage3_kWh_per_m2,q_sens_stage3_kWh_per_m2,q_lat_stage3_kWh_per_m2
2025-09-01 00:00:00,27.403,,79.351,0.0,2000.0,,,24.58956527709961,23.51445517497974,5.464919604644952,0.7540725238500708,0.0,0.0,25.6,85.0,0.0,1.7,0.0,30.0,4.428571428571429,7.0,0.8,11.200000000000001,8.96,6.642857142857143,17.842857142857145,15.602857142857143,0.0,0.0,0.0,0.0,2025-09-01 00:00:00,27.403,27.403,0.0,0.6277021617293835,0.37229783827061647,0.57425379967039,0.42574620032960997,27.403,0.0,0.0,0.0,0.0,0.0,0.01830468364661979,74.28041383769718,0.021570774178591948,False,0.017613554289029394,70.64378627788894,0.020770424153403137,0.002754644153824582,0.0177945643588745,77.20113409826575,0.7537934283142591,79.351,0.7537934283142591,0.0,0.8322744583149455,0.0,0.0,27.403,-117.94250984909803,-117.94250984909803,77.20113409826575,100.0,100.0,0.0,0.0,0.0
2025-09-01 00:10:00,27.167,,79.807,0.0,2000.0,,,24.43236541748047,23.3795732198214,5.275482670144823,0.727465065532959,0.0,0.0,25.566666666666666,85.33333333333333,0.0,1.8333333333333333,0.0,30.0,4.619047619047619,7.0,0.8,11.200000000000001,8.96,6.928571428571429,18.12857142857143,15.88857142857143,0.0,0.0,0.0,0.0,2025-09-01 00:10:00,26.170033333333333,26.32238098765432,-0.1523476543209874,0.6178092986603625,0.3821907013396375,0.5639273511958282,0.4360726488041719,27.167,0.8446190123456816,0.0,0.0,0.0,0.0,0.01815297584585432,73.6478757148177,0.021395184743164916,False,0.017648677284379615,70.69867375448148,0.02081112393107084,0.0020964411627019826,0.017764746000909507,78.14759739884747,0.7270329628854713,83.86922114251958,0.5526459218442761,0.17438704104119518,0.7486706802397101,0.0,0.0,26.32238098765432,-119.48523256889061,-119.48523256889061,78.14759739884747,100.0,100.0,0.0,0.0,0.0
2025-09-01 00:20:00,27.358999999999998,,79.388,0.0,2000.0,,,24.553089141845703,23.478966445993105,5.4432258210952975,0.7509962757483064,0.0,0.0,25.533333333333335,85.66666666666667,0.0,1.9666666666666668,0.0,30.0,4.809523809523809,7.0,0.8,11.200000000000001,8.96,7.214285714285714,18.414285714285715,16.174285714285716,0.0,0.0,0.0,0.0,2025-09-01 00:20:00,25.735797195767198,25.849703869018224,-0.11390667325102655,0.6082234290147401,0.39177657098525986,0.5539657304363187,0.4460342695636813,27.358999999999998,1.5092961309817738,0.0,0.0,0.0,0.0,0.01826501062121531,74.13341067524914,0.021524860931916735,False,0.01768358563003884,70.75300984280227,0.020851572193639447,0.002516739604663868,0.01779894773146274,77.41863629237389,0.750508493549233,86.76123361840742,0.441074691254431,0.309433802294802,0.7523410972259361,0.0,0.0,25.849703869018224,-119.94618487751451,-119.94618487751451,77.41863629237389,100.0,100.0,0.0,0.0,0.0
2025-09-01 00:30:00,27.232,,79.67,0.0,2000.0,,,24.47372817993164,23.414024632104155,5.331903455709067,0.7353869299694088,0.0,0.0,25.5,86.0,0.0,2.1,0.0,30.0,5.0,7.0,0.8,11.200000000000001,8.96,7.5,18.700000000000003,16.46,0.0,0.0,0.0,0.0,2025-09-01 00:30:00,25.57248580462473,25.636514028868596,-0.06402822424386656,0.5989304812834224,0.4010695187165775,0.5443499392466586,0.4556500607533414,27.232,1.595485971131403,0.0,0.0,0.0,0.0,0.018192056809792558,73.81518141063353,0.021440422782466464,False,0.017718279889475587,70.80679601873626,0.020891769645406934,0.0021319961414263677,0.017797242709528416,77.9890557873505,0.7347578995235811,87.52274932097433,0.41048723041171975,0.3242706691118613,0.7241348083024093,0.0,0.0,25.636514028868596,-120.31157427724165,-120.31157427724165,77.9890557873505,100.0,100.0,0.0,0.0,0.0
2025-09-01 00:40:00,27.267000000000003,,79.507,0.0,2000.0,,,24.483848571777344,23.41465796193768,5.382683285369208,0.7424614714674335,0.0,0.0,25.466666666666665,86.33333333333333,0.0,2.2333333333333334,0.0,30.0,5.190476190476191,7.0,0.8,11.200000000000001,8.96,7.785714285714286,18.985714285714288,16.745714285714286,0.0,0.0,0.0,0.0,2025-09-01 00:40:00,25.49807647428279,25.531172717771717,-0.03309624348892726,0.5899172310007524,0.4100827689992475,0.5350622760621055,0.46493772393789456,27.267000000000003,1.7358272822282856,0.0,0.0,0.0,0.0,0.018192083909074553,73.85164486322012,0.021440454149945,False,0.01775276062555934,70.86003375650206,0.020931716989475102,0.0020522673387067814,0.01781203440190663,77.89226714757099,0.7421684774191499,88.0713294684289,0.389995703385257,0.3521727740338929,0.7227897527404363,0.0,0.0,25.531172717771717,-120.42561303337925,-120.42561303337925,77.89226714757099,100.0,100.0,0.0,0.0,0.0
2025-09-01 00:50:00,27.421999999999997,,78.938,0.0,2000.0,,,24.547962188720703,23.44651605248839,5.579602993546617,0.7699261773181719,0.0,0.0,25.433333333333334,86.66666666666667,0.0,2.3666666666666667,0.0,30.0,5.380952380952381,7.0,0.8,11.200000000000001,8.96,8.071428571428573,19.271428571428572,17.031428571428574,0.0,0.0,0.0,0.0,2025-09-01 00:50:00,25.45186562923474,25.469456255270426,-0.017590626035687507,0.58117123795404,0.41882876204596003,0.5260862271430967,0.4739137728569032,27.421999999999997,1.9525437447295708,0.0,0.0,0.0,0.0,0.0182274598449008,74.10309920328928,0.021481400449770535,False,0.017787028400557858,70.91272452864533,0.020971414927749663,0.002132946566175107,0.017832469740053557,77.27508556016942,0.7697248752319776,88.5614496317358,0.3726046790912445,0.39712019614073313,0.7402519707148865,0.0,0.0,25.469456255270426,-120.39618930031075,-120.39618930031075,77.27508556016942,100.0,100.0,0.0,0.0,0.0
2025-09-01 01:00:00,27.153,,79.64099999999999,0.0,2000.0,,,24.395782470703125,23.331850075881913,5.313260853098199,0.732637766062407,0.0,0.0,25.4,87.0,0.0,2.5,0.0,30.0,5.571428571428571,7.0,0.8,11.200000000000001,8.96,8.357142857142856,19.557142857142857,17.317142857142855,0.0,0.0,0.0,0.0,2025-09-01 01:00:00,25.41429735070439,25.424908703609677,-0.010611352905286253,0.5726807888970051,0.4273192111029948,0.517406368586042,0.48259363141395806,27.153,1.7280912963903212,0.0,0.0,0.0,0.0,0.018098831662281413,73.49516987896004,0.021332504585313262,False,0.017821083776134682,70.96486980603254,0.021010864160940508,0.0013927072576786065,0.01784092291085945,78.53775942759965,0.732408584906032,88.18705697973772,0.3837840735208129,0.3486245113852191,0.697274684185905,0.0,0.0,25.424908703609677,-120.66804892829848,-120.66804892829848,78.53775942759965,100.0,100.0,0.0,0.0,0.0
2025-09-01 01:10:00,27.256999999999998,,79.138,0.0,2000.0,,,24.421497344970703,23.327945855599033,5.476400256399441,0.7553673721708452,0.0,0.0,25.366666666666667,87.0,0.0,2.4,0.0,30.0,5.428571428571429,7.0,0.8,11.200000000000001,8.96,8.142857142857144,19.342857142857145,17.102857142857147,0.0,0.0,0.0,0.0,2025-09-01 01:10:00,25.380174627854085,25.388015917033925,-0.00784128917984006,0.5790251107828656,0.42097488921713444,0.5238890745071834,0.47611092549281653,27.256999999999998,1.8689840829660724,0.0,0.0,0.0,0.0,0.01809428891441466,73.59170319621983,0.021327245358040595,False,0.017784830102622,70.83785060722619,0.020968868361886012,0.0015119273376155648,0.017814302370411775,77.94753464332481,0.7550898302448399,88.3589071944799,0.3773732969185004,0.3777165333263395,0.7148823307106791,0.0,0.0,25.388015917033925,-120.6126189279338,-120.6126189279338,77.94753464332481,100.0,100.0,0.0,0.0,0.0
2025-09-01 01:20:00,27.380000000000003,,78.681,0.0,2000.0,,,24.471271514892578,23.35161918488532,5.634972970527411,0.7774841570955399,0.0,0.0,25.333333333333332,87.0,0.0,2.3,0.0,30.0,5.285714285714286,7.0,0.8,11.200000000000001,8.96,7.928571428571428,19.12857142857143,16.888571428571428,0.0,0.0,0.0,0.0,2025-09-01 01:20:00,25.346989181630125,25.353811816266283,-0.006822634636158398,0.585511575802838,0.414488424197162,0.5305362882760954,0.46946371172390455,27.380000000000003,2.0261881837337192,0.0,0.0,0.0,0.0,0.018120512407441575,73.78650124228268,0.021357604157795335,False,0.017748643052620184,70.71100566857588,0.020926946755008387,0.0017690356450789045,0.017792913213908444,77.29809358369259,0.7772055094640455,88.66328590869941,0.3667602697623411,0.41044523970170443,0.7344418545188094,0.0,0.0,25.353811816266283,-120.54423145299508,-120.54423145299508,77.29809358369259,100.0,100.0,0.0,0.0,0.0
2025-09-01 01:30:00,27.137,,79.739,0.0,2000.0,,,24.394607543945312,23.336547514866517,5.283426021442984,0.7285046305613028,0.0,0.0,25.299999999999997,87.0,0.0,2.2,0.0,30.0,5.142857142857143,7.0,0.8,11.200000000000001,8.96,7.714285714285715,18.914285714285718,16.674285714285716,0.0,0.0,0.0,0.0,2025-09-01 01:30:00,25.314071892488172,25.320579460739296,-0.00650756825112353,0.5921450151057401,0.4078549848942598,0.5373543522960932,0.4626456477039068,27.137,1.8164205392607045,0.0,0.0,0.0,0.0,0.018104273353094114,73.4924195948166,0.021338804474478744,False,0.017712522513400823,70.58433469045107,0.020885099225848535,0.0018132467437232292,0.017768486919071295,78.3011287982209,0.7281999512427544,88.76115452386337,0.3628768905559996,0.3653230606867548,0.700607453585476,0.0,0.0,25.320579460739296,-120.75631450693389,-120.75631450693389,78.3011287982209,100.0,100.0,0.0,0.0,0.0
