date_time,temperature,humidity,light
2025-10-13 01:51:00,21.18,80.16,0.0
2025-10-13 01:52:00,21.29,79.51,0.0
2025-10-13 01:53:00,21.49,79.11,0.0
2025-10-13 01:54:00,21.18,80.04,0.0
2025-10-13 01:55:00,21.27,80.21,0.0
2025-10-13 01:56:00,21.35,79.65,0.0
2025-10-13 01:57:00,21.25,79.9,0.0
2025-10-13 01:58:00,21.2,80.06,0.0
2025-10-13 01:59:00,21.27,79.81,0.0
2025-10-13 02:00:00,21.4,79.65,0.0
2025-10-13 02:01:00,21.29,79.61,0.0
2025-10-13 02:02:00,21.26,79.81,0.0
2025-10-13 02:03:00,21.22,80.04,0.0
2025-10-13 02:04:00,21.42,79.19,0.0
2025-10-13 02:05:00,21.43,79.44,0.0
2025-10-13 02:06:00,21.05,80.15,0.0
2025-10-13 02:07:00,21.18,79.94,0.0
2025-10-13 02:08:00,20.94,80.71,0.0
2025-10-13 02:09:00,20.81,80.58,0.0
2025-10-13 02:10:00,20.67,81.19,0.0
2025-10-13 02:11:00,20.57,81.47,0.0
2025-10-13 02:12:00,20.55,81.62,0.0
2025-10-13 02:13:00,20.75,80.76,0.0
2025-10-13 02:14:00,21.09,79.82,0.0
2025-10-13 02:15:00,21.33,78.93,0.0
2025-10-13 02:16:00,20.74,80.62,0.0
2025-10-13 02:17:00,20.44,81.73,0.0
2025-10-13 02:18:00,20.6,81.37,0.0
2025-10-13 02:19:00,21.09,79.79,0.0
2025-10-13 02:20:00,21.02,79.86,0.0
2025-10-13 02:21:00,21.23,79.62,0.0
2025-10-13 02:22:00,21.71,78.14,0.0
2025-10-13 02:23:00,20.96,79.54,0.0
2025-10-13 02:24:00,20.84,80.69,0.0
2025-10-13 02:25:00,21.25,79.16,0.0
2025-10-13 02:26:00,21.19,79.44,0.0
2025-10-13 02:27:00,21.3,79.37,0.0
2025-10-13 02:28:00,21.43,78.47,0.0
2025-10-13 02:29:00,21.06,79.9,0.0
2025-10-13 02:30:00,20.87,80.37,0.0
2025-10-13 02:31:00,20.71,81.1,0.0
2025-10-13 02:32:00,20.91,81.0,0.0
2025-10-13 02:33:00,20.96,80.0,0.0
2025-10-13 02:34:00,20.98,80.24,0.0
2025-10-13 02:35:00,20.74,80.57,0.0
2025-10-13 02:36:00,20.74,81.01,0.0
2025-10-13 02:37:00,20.53,81.44,0.0
2025-10-13 02:38:00,20.67,81.12,0.0
2025-10-13 02:39:00,20.63,81.29,0.0
2025-10-13 02:40:00,20.54,81.51,0.0
2025-10-13 02:41:00,20.92,80.25,0.0
2025-10-13 02:42:00,20.41,81.53,0.0
2025-10-13 02:43:00,20.55,81.51,0.0
2025-10-13 02:44:00,20.63,81.21,0.0
2025-10-13 02:45:00,20.77,80.91,0.0
2025-10-13 02:46:00,20.68,81.17,0.0
2025-10-13 02:47:00,20.32,81.92,0.0
2025-10-13 02:48:00,20.03,82.82,0.0
2025-10-13 02:49:00,20.24,82.72,0.0
2025-10-13 02:50:00,20.85,79.97,0.0
2025-10-13 02:51:00,20.43,81.21,0.0
2025-10-13 02:52:00,20.29,82.01,0.0
2025-10-13 02:53:00,20.21,82.19,0.0
2025-10-13 02:54:00,19.92,82.74,0.0
2025-10-13 02:55:00,19.95,82.8,0.0
2025-10-13 02:56:00,19.74,83.38,0.0
2025-10-13 02:57:00,19.59,84.08,0.0
2025-10-13 02:58:00,19.54,84.35,0.0
2025-10-13 02:59:00,19.58,84.49,0.0
2025-10-13 03:00:00,19.67,84.01,0.0
2025-10-13 03:01:00,20.0,83.2,0.0
2025-10-13 03:02:00,19.83,83.62,0.0
2025-10-13 03:03:00,20.17,82.8,0.0
2025-10-13 03:04:00,20.14,82.4,0.0
2025-10-13 03:05:00,19.81,83.88,0.0
2025-10-13 03:06:00,19.85,84.04,0.0
2025-10-13 03:07:00,19.86,83.75,0.0
2025-10-13 03:08:00,19.81,84.01,0.0
2025-10-13 03:09:00,19.74,84.42,0.0
2025-10-13 03:10:00,19.83,84.17,0.0
2025-10-13 03:11:00,19.81,84.16,0.0
2025-10-13 03:12:00,19.79,84.16,0.0
2025-10-13 03:13:00,20.02,83.99,0.0
2025-10-13 03:14:00,20.65,81.71,0.0
2025-10-13 03:15:00,20.85,80.54,0.0
2025-10-13 03:16:00,20.75,81.24,0.0
2025-10-13 03:17:00,20.98,80.54,0.0
2025-10-13 03:18:00,21.23,79.21,0.0
2025-10-13 03:19:00,21.47,78.82,0.0
2025-10-13 03:20:00,21.08,79.9,0.0
2025-10-13 03:21:00,21.13,79.82,0.0
2025-10-13 03:22:00,20.43,81.95,0.0
2025-10-13 03:23:00,20.46,82.14,0.0
2025-10-13 03:24:00,20.45,82.24,0.0
2025-10-13 03:25:00,20.4,82.4,0.0
2025-10-13 03:26:00,20.24,82.69,0.0
2025-10-13 03:27:00,20.19,83.11,0.0
2025-10-13 03:28:00,20.46,82.67,0.0
2025-10-13 03:29:00,20.53,81.81,0.0
2025-10-13 03:30:00,20.72,81.47,0.0
2025-10-13 03:31:00,20.75,81.01,0.0
2025-10-13 03:32:00,20.45,81.72,0.0
2025-10-13 03:33:00,20.29,82.8,0.0
2025-10-13 03:34:00,20.19,82.88,0.0
2025-10-13 03:35:00,20.08,83.31,0.0
2025-10-13 03:36:00,20.55,82.25,0.0
2025-10-13 03:37:00,21.0,80.47,0.0
2025-10-13 03:38:00,20.7,80.99,0.0
2025-10-13 03:39:00,21.03,80.23,0.0
2025-10-13 03:40:00,20.75,81.0,0.0
2025-10-13 03:41:00,20.87,80.51,0.0
2025-10-13 03:42:00,21.02,80.48,0.0
2025-10-13 03:43:00,21.4,79.17,0.0
2025-10-13 03:44:00,21.19,79.36,0.0
2025-10-13 03:45:00,20.87,80.18,0.0
2025-10-13 03:46:00,21.13,80.05,0.0
2025-10-13 03:47:00,21.37,79.03,0.0
2025-10-13 03:48:00,20.98,80.21,0.0
2025-10-13 03:49:00,21.26,79.74,0.0
2025-10-13 03:50:00,21.3,79.32,0.0
2025-10-13 03:51:00,21.49,78.73,0.0
2025-10-13 03:52:00,21.15,78.94,0.0
2025-10-13 03:53:00,20.61,81.15,0.0
2025-10-13 03:54:00,20.74,80.9,0.0
2025-10-13 03:55:00,21.3,78.98,0.0
2025-10-13 03:56:00,21.05,79.64,0.0
2025-10-13 03:57:00,21.37,78.8,0.0
2025-10-13 03:58:00,21.13,79.36,0.0
2025-10-13 03:59:00,21.6,77.79,0.0
2025-10-13 04:00:00,21.23,79.19,0.0
2025-10-13 04:01:00,21.13,79.29,0.0
2025-10-13 04:02:00,21.5,78.35,0.0
2025-10-13 04:03:00,21.4,78.55,0.0
2025-10-13 04:04:00,21.0,79.22,0.0
2025-10-13 04:05:00,20.63,80.62,0.0
2025-10-13 04:06:00,20.84,80.32,0.0
2025-10-13 04:07:00,20.88,79.78,0.0
2025-10-13 04:08:00,20.84,80.19,0.0
2025-10-13 04:09:00,21.05,80.15,0.0
2025-10-13 04:10:00,20.88,80.26,0.0
2025-10-13 04:11:00,21.0,79.44,0.0
